"title";"value";"select.name"
"Lens Blur";"LensBlur";"portal.icon.select"
"Library Add";"LibraryAdd";"portal.icon.select"
"Library Add Check";"LibraryAddCheck";"portal.icon.select"
"Library Books";"LibraryBooks";"portal.icon.select"
"Library Music";"LibraryMusic";"portal.icon.select"
"Light";"Light";"portal.icon.select"
"Light Mode";"LightMode";"portal.icon.select"
"Lightbulb";"Lightbulb";"portal.icon.select"
"Lightbulb Circle";"LightbulbCircle";"portal.icon.select"
"Lightbulb Outline";"LightbulbOutline";"portal.icon.select"
"Line Axis";"LineAxis";"portal.icon.select"
"Line Style";"LineStyle";"portal.icon.select"
"Line Weight";"LineWeight";"portal.icon.select"
"Linear Scale";"LinearScale";"portal.icon.select"
"Link";"Link";"portal.icon.select"
"Link Off";"LinkOff";"portal.icon.select"
"Linked Camera";"LinkedCamera";"portal.icon.select"
"Liquor";"Liquor";"portal.icon.select"
"List";"List";"portal.icon.select"
"List Alt";"ListAlt";"portal.icon.select"
"Live Help";"LiveHelp";"portal.icon.select"
"Live Tv";"LiveTv";"portal.icon.select"
"Living";"Living";"portal.icon.select"
"Local Activity";"LocalActivity";"portal.icon.select"
"Local Airport";"LocalAirport";"portal.icon.select"
"Local Atm";"LocalAtm";"portal.icon.select"
"Local Bar";"LocalBar";"portal.icon.select"
"Local Cafe";"LocalCafe";"portal.icon.select"
"Local Car Wash";"LocalCarWash";"portal.icon.select"
"Local Convenience Store";"LocalConvenienceStore";"portal.icon.select"
"Local Dining";"LocalDining";"portal.icon.select"
"Local Drink";"LocalDrink";"portal.icon.select"
"Local Fire Department";"LocalFireDepartment";"portal.icon.select"
"Local Florist";"LocalFlorist";"portal.icon.select"
"Local Gas Station";"LocalGasStation";"portal.icon.select"
"Local Grocery Store";"LocalGroceryStore";"portal.icon.select"
"Local Hospital";"LocalHospital";"portal.icon.select"
"Local Hotel";"LocalHotel";"portal.icon.select"
"Local Laundry Service";"LocalLaundryService";"portal.icon.select"
"Local Library";"LocalLibrary";"portal.icon.select"
"Local Mall";"LocalMall";"portal.icon.select"
"Local Movies";"LocalMovies";"portal.icon.select"
"Local Offer";"LocalOffer";"portal.icon.select"
"Local Parking";"LocalParking";"portal.icon.select"
"Local Pharmacy";"LocalPharmacy";"portal.icon.select"
"Local Phone";"LocalPhone";"portal.icon.select"
"Local Pizza";"LocalPizza";"portal.icon.select"
"Local Play";"LocalPlay";"portal.icon.select"
"Local Police";"LocalPolice";"portal.icon.select"
"Local Post Office";"LocalPostOffice";"portal.icon.select"
"Local Printshop";"LocalPrintshop";"portal.icon.select"
"Local See";"LocalSee";"portal.icon.select"
"Local Shipping";"LocalShipping";"portal.icon.select"
"Local Taxi";"LocalTaxi";"portal.icon.select"
"Location City";"LocationCity";"portal.icon.select"
"Location Disabled";"LocationDisabled";"portal.icon.select"
"Location Off";"LocationOff";"portal.icon.select"
"Location On";"LocationOn";"portal.icon.select"
"Location Pin";"LocationPin";"portal.icon.select"
"Location Searching";"LocationSearching";"portal.icon.select"
"Lock";"Lock";"portal.icon.select"
"Lock Clock";"LockClock";"portal.icon.select"
"Lock Open";"LockOpen";"portal.icon.select"
"Lock Outline";"LockOutline";"portal.icon.select"
"Lock Person";"LockPerson";"portal.icon.select"
"Lock Reset";"LockReset";"portal.icon.select"
"Login";"Login";"portal.icon.select"
"Logo Dev";"LogoDev";"portal.icon.select"
"Logout";"Logout";"portal.icon.select"
"Looks";"Looks";"portal.icon.select"
"Looks3";"Looks3";"portal.icon.select"
"Looks4";"Looks4";"portal.icon.select"
"Looks5";"Looks5";"portal.icon.select"
"Looks6";"Looks6";"portal.icon.select"
"Looks One";"LooksOne";"portal.icon.select"
"Looks Two";"LooksTwo";"portal.icon.select"
"Loop";"Loop";"portal.icon.select"
"Loupe";"Loupe";"portal.icon.select"
"Low Priority";"LowPriority";"portal.icon.select"
"Loyalty";"Loyalty";"portal.icon.select"
"Lte Mobiledata";"LteMobiledata";"portal.icon.select"
"Lte Plus Mobiledata";"LtePlusMobiledata";"portal.icon.select"
"Luggage";"Luggage";"portal.icon.select"
"Lunch Dining";"LunchDining";"portal.icon.select"
"Lyrics";"Lyrics";"portal.icon.select"
"Macro Off";"MacroOff";"portal.icon.select"
"Mail";"Mail";"portal.icon.select"
"Mail Lock";"MailLock";"portal.icon.select"
"Mail Outline";"MailOutline";"portal.icon.select"
"Male";"Male";"portal.icon.select"
"Man";"Man";"portal.icon.select"
"Man2";"Man2";"portal.icon.select"
"Man3";"Man3";"portal.icon.select"
"Man4";"Man4";"portal.icon.select"
"Manage Accounts";"ManageAccounts";"portal.icon.select"
"Manage History";"ManageHistory";"portal.icon.select"
"Manage Search";"ManageSearch";"portal.icon.select"
"Map";"Map";"portal.icon.select"
"Maps Home Work";"MapsHomeWork";"portal.icon.select"
"Maps Ugc";"MapsUgc";"portal.icon.select"
"Margin";"Margin";"portal.icon.select"
"Mark As Unread";"MarkAsUnread";"portal.icon.select"
"Mark Chat Read";"MarkChatRead";"portal.icon.select"
"Mark Chat Unread";"MarkChatUnread";"portal.icon.select"
"Mark Email Read";"MarkEmailRead";"portal.icon.select"
"Mark Email Unread";"MarkEmailUnread";"portal.icon.select"
"Mark Unread Chat Alt";"MarkUnreadChatAlt";"portal.icon.select"
"Markunread";"Markunread";"portal.icon.select"
"Markunread Mailbox";"MarkunreadMailbox";"portal.icon.select"
"Masks";"Masks";"portal.icon.select"
"Maximize";"Maximize";"portal.icon.select"
"Media Bluetooth Off";"MediaBluetoothOff";"portal.icon.select"
"Media Bluetooth On";"MediaBluetoothOn";"portal.icon.select"
"Mediation";"Mediation";"portal.icon.select"
"Medical Information";"MedicalInformation";"portal.icon.select"
"Medical Services";"MedicalServices";"portal.icon.select"
"Medication";"Medication";"portal.icon.select"
"Medication Liquid";"MedicationLiquid";"portal.icon.select"
"Meeting Room";"MeetingRoom";"portal.icon.select"
"Memory";"Memory";"portal.icon.select"
"Menu";"Menu";"portal.icon.select"
"Menu Book";"MenuBook";"portal.icon.select"
"Menu Open";"MenuOpen";"portal.icon.select"
"Merge";"Merge";"portal.icon.select"
"Merge Type";"MergeType";"portal.icon.select"
"Message";"Message";"portal.icon.select"
"Mic";"Mic";"portal.icon.select"
"Mic External Off";"MicExternalOff";"portal.icon.select"
"Mic External On";"MicExternalOn";"portal.icon.select"
"Mic None";"MicNone";"portal.icon.select"
"Mic Off";"MicOff";"portal.icon.select"
"Microwave";"Microwave";"portal.icon.select"
"Military Tech";"MilitaryTech";"portal.icon.select"
"Minimize";"Minimize";"portal.icon.select"
"Minor Crash";"MinorCrash";"portal.icon.select"
"Miscellaneous Services";"MiscellaneousServices";"portal.icon.select"
"Missed Video Call";"MissedVideoCall";"portal.icon.select"
"Mms";"Mms";"portal.icon.select"
"Mobile Friendly";"MobileFriendly";"portal.icon.select"
"Mobile Off";"MobileOff";"portal.icon.select"
"Mobile Screen Share";"MobileScreenShare";"portal.icon.select"
"Mobiledata Off";"MobiledataOff";"portal.icon.select"
"Mode";"Mode";"portal.icon.select"
"Mode Comment";"ModeComment";"portal.icon.select"
"Mode Edit";"ModeEdit";"portal.icon.select"
"Mode Edit Outline";"ModeEditOutline";"portal.icon.select"
"Mode Fan Off";"ModeFanOff";"portal.icon.select"
"Mode Night";"ModeNight";"portal.icon.select"
"Mode Of Travel";"ModeOfTravel";"portal.icon.select"
"Mode Standby";"ModeStandby";"portal.icon.select"
"Model Training";"ModelTraining";"portal.icon.select"
"Monetization On";"MonetizationOn";"portal.icon.select"
"Money";"Money";"portal.icon.select"
"Money Off";"MoneyOff";"portal.icon.select"
"Money Off Csred";"MoneyOffCsred";"portal.icon.select"
"Monitor";"Monitor";"portal.icon.select"
"Monitor Heart";"MonitorHeart";"portal.icon.select"
"Monitor Weight";"MonitorWeight";"portal.icon.select"
"Monochrome Photos";"MonochromePhotos";"portal.icon.select"
"Mood";"Mood";"portal.icon.select"
"Mood Bad";"MoodBad";"portal.icon.select"
"Moped";"Moped";"portal.icon.select"
"More";"More";"portal.icon.select"
"More Horiz";"MoreHoriz";"portal.icon.select"
"More Time";"MoreTime";"portal.icon.select"
"More Vert";"MoreVert";"portal.icon.select"
"Mosque";"Mosque";"portal.icon.select"
"Motion Photos Auto";"MotionPhotosAuto";"portal.icon.select"
"Motion Photos Off";"MotionPhotosOff";"portal.icon.select"
"Motion Photos On";"MotionPhotosOn";"portal.icon.select"
"Motion Photos Pause";"MotionPhotosPause";"portal.icon.select"
"Motion Photos Paused";"MotionPhotosPaused";"portal.icon.select"
"Mouse";"Mouse";"portal.icon.select"
"Move Down";"MoveDown";"portal.icon.select"
"Move To Inbox";"MoveToInbox";"portal.icon.select"
"Move Up";"MoveUp";"portal.icon.select"
"Movie";"Movie";"portal.icon.select"
"Movie Creation";"MovieCreation";"portal.icon.select"
"Movie Edit";"MovieEdit";"portal.icon.select"
"Movie Filter";"MovieFilter";"portal.icon.select"
"Moving";"Moving";"portal.icon.select"
"Mp";"Mp";"portal.icon.select"
"Multiline Chart";"MultilineChart";"portal.icon.select"
"Multiple Stop";"MultipleStop";"portal.icon.select"
"Museum";"Museum";"portal.icon.select"
"Music Note";"MusicNote";"portal.icon.select"
"Music Off";"MusicOff";"portal.icon.select"
"Music Video";"MusicVideo";"portal.icon.select"
"My Location";"MyLocation";"portal.icon.select"
"Nat";"Nat";"portal.icon.select"
"Nature";"Nature";"portal.icon.select"
"Nature People";"NaturePeople";"portal.icon.select"
"Navigate Before";"NavigateBefore";"portal.icon.select"
"Navigate Next";"NavigateNext";"portal.icon.select"
"Navigation";"Navigation";"portal.icon.select"
"Near Me";"NearMe";"portal.icon.select"
"Near Me Disabled";"NearMeDisabled";"portal.icon.select"
"Nearby Error";"NearbyError";"portal.icon.select"
"Nearby Off";"NearbyOff";"portal.icon.select"
"Nest Cam Wired Stand";"NestCamWiredStand";"portal.icon.select"
"Network Cell";"NetworkCell";"portal.icon.select"
"Network Check";"NetworkCheck";"portal.icon.select"
"Network Locked";"NetworkLocked";"portal.icon.select"
"Network Ping";"NetworkPing";"portal.icon.select"
"Network Wifi";"NetworkWifi";"portal.icon.select"
"Network Wifi1 Bar";"NetworkWifi1Bar";"portal.icon.select"
"Network Wifi2 Bar";"NetworkWifi2Bar";"portal.icon.select"
"Network Wifi3 Bar";"NetworkWifi3Bar";"portal.icon.select"
"New Label";"NewLabel";"portal.icon.select"
"New Releases";"NewReleases";"portal.icon.select"
"Newspaper";"Newspaper";"portal.icon.select"
"Next Plan";"NextPlan";"portal.icon.select"
"Next Week";"NextWeek";"portal.icon.select"
"Nfc";"Nfc";"portal.icon.select"
"Night Shelter";"NightShelter";"portal.icon.select"
"Nightlife";"Nightlife";"portal.icon.select"
"Nightlight";"Nightlight";"portal.icon.select"
"Nightlight Round";"NightlightRound";"portal.icon.select"
"Nights Stay";"NightsStay";"portal.icon.select"
"No Accounts";"NoAccounts";"portal.icon.select"
"No Adult Content";"NoAdultContent";"portal.icon.select"
"No Backpack";"NoBackpack";"portal.icon.select"
"No Cell";"NoCell";"portal.icon.select"
"No Crash";"NoCrash";"portal.icon.select"
"No Drinks";"NoDrinks";"portal.icon.select"
"No Encryption";"NoEncryption";"portal.icon.select"
"No Encryption Gmailerrorred";"NoEncryptionGmailerrorred";"portal.icon.select"
"No Flash";"NoFlash";"portal.icon.select"
"No Food";"NoFood";"portal.icon.select"
"No Luggage";"NoLuggage";"portal.icon.select"
"No Meals";"NoMeals";"portal.icon.select"
"No Meals Ouline";"NoMealsOuline";"portal.icon.select"
"No Meeting Room";"NoMeetingRoom";"portal.icon.select"
"No Photography";"NoPhotography";"portal.icon.select"
"No Sim";"NoSim";"portal.icon.select"
"No Stroller";"NoStroller";"portal.icon.select"
"No Transfer";"NoTransfer";"portal.icon.select"
"Noise Aware";"NoiseAware";"portal.icon.select"
"Noise Control Off";"NoiseControlOff";"portal.icon.select"
"Nordic Walking";"NordicWalking";"portal.icon.select"
"North";"North";"portal.icon.select"
"North East";"NorthEast";"portal.icon.select"
"North West";"NorthWest";"portal.icon.select"
"Not Accessible";"NotAccessible";"portal.icon.select"
"Not Interested";"NotInterested";"portal.icon.select"
"Not Listed Location";"NotListedLocation";"portal.icon.select"
"Not Started";"NotStarted";"portal.icon.select"
"Note";"Note";"portal.icon.select"
"Note Add";"NoteAdd";"portal.icon.select"
"Note Alt";"NoteAlt";"portal.icon.select"
"Notes";"Notes";"portal.icon.select"
"Notification Add";"NotificationAdd";"portal.icon.select"
"Notification Important";"NotificationImportant";"portal.icon.select"
"Notifications";"Notifications";"portal.icon.select"
"Notifications Active";"NotificationsActive";"portal.icon.select"
"Notifications None";"NotificationsNone";"portal.icon.select"
"Notifications Off";"NotificationsOff";"portal.icon.select"
"Notifications Paused";"NotificationsPaused";"portal.icon.select"
"Numbers";"Numbers";"portal.icon.select"
"Offline Bolt";"OfflineBolt";"portal.icon.select"
"Offline Pin";"OfflinePin";"portal.icon.select"
"Offline Share";"OfflineShare";"portal.icon.select"
"Oil Barrel";"OilBarrel";"portal.icon.select"
"On Device Training";"OnDeviceTraining";"portal.icon.select"
"Ondemand Video";"OndemandVideo";"portal.icon.select"
"Online Prediction";"OnlinePrediction";"portal.icon.select"
"Opacity";"Opacity";"portal.icon.select"
"Open In Browser";"OpenInBrowser";"portal.icon.select"
"Open In Full";"OpenInFull";"portal.icon.select"
"Open In New";"OpenInNew";"portal.icon.select"
"Open In New Off";"OpenInNewOff";"portal.icon.select"
"Open With";"OpenWith";"portal.icon.select"
"Other Houses";"OtherHouses";"portal.icon.select"
"Outbond";"Outbond";"portal.icon.select"
"Outbound";"Outbound";"portal.icon.select"
"Outbox";"Outbox";"portal.icon.select"
"Outdoor Grill";"OutdoorGrill";"portal.icon.select"
"Outgoing Mail";"OutgoingMail";"portal.icon.select"
"Outlet";"Outlet";"portal.icon.select"
"Outline10 K";"Outline10K";"portal.icon.select"
"Outline10 Mp";"Outline10Mp";"portal.icon.select"
"Outline11 Mp";"Outline11Mp";"portal.icon.select"
"Outline123";"Outline123";"portal.icon.select"
"Outline12 Mp";"Outline12Mp";"portal.icon.select"
"Outline13 Mp";"Outline13Mp";"portal.icon.select"
"Outline14 Mp";"Outline14Mp";"portal.icon.select"
"Outline15 Mp";"Outline15Mp";"portal.icon.select"
"Outline16 Mp";"Outline16Mp";"portal.icon.select"
"Outline17 Mp";"Outline17Mp";"portal.icon.select"
"Outline18 Mp";"Outline18Mp";"portal.icon.select"
"Outline18 Up Rating";"Outline18UpRating";"portal.icon.select"
"Outline19 Mp";"Outline19Mp";"portal.icon.select"
"Outline1 K";"Outline1K";"portal.icon.select"
"Outline1k Plus";"Outline1kPlus";"portal.icon.select"
"Outline1x Mobiledata";"Outline1xMobiledata";"portal.icon.select"
"Outline20 Mp";"Outline20Mp";"portal.icon.select"
"Outline21 Mp";"Outline21Mp";"portal.icon.select"
"Outline22 Mp";"Outline22Mp";"portal.icon.select"
"Outline23 Mp";"Outline23Mp";"portal.icon.select"
"Outline24 Mp";"Outline24Mp";"portal.icon.select"
"Outline2 K";"Outline2K";"portal.icon.select"
"Outline2 Mp";"Outline2Mp";"portal.icon.select"
"Outline2k Plus";"Outline2kPlus";"portal.icon.select"
"Outline30 Fps";"Outline30Fps";"portal.icon.select"
"Outline30 Fps Select";"Outline30FpsSelect";"portal.icon.select"
"Outline360";"Outline360";"portal.icon.select"
"Outline3 K";"Outline3K";"portal.icon.select"
"Outline3 Mp";"Outline3Mp";"portal.icon.select"
"Outline3 P";"Outline3P";"portal.icon.select"
"Outline3d Rotation";"Outline3dRotation";"portal.icon.select"
"Outline3g Mobiledata";"Outline3gMobiledata";"portal.icon.select"
"Outline3k Plus";"Outline3kPlus";"portal.icon.select"
"Outline4 K";"Outline4K";"portal.icon.select"
"Outline4 Mp";"Outline4Mp";"portal.icon.select"
"Outline4g Mobiledata";"Outline4gMobiledata";"portal.icon.select"
"Outline4g Plus Mobiledata";"Outline4gPlusMobiledata";"portal.icon.select"
"Outline4k Plus";"Outline4kPlus";"portal.icon.select"
"Outline5 G";"Outline5G";"portal.icon.select"
"Outline5 K";"Outline5K";"portal.icon.select"
"Outline5 Mp";"Outline5Mp";"portal.icon.select"
"Outline5k Plus";"Outline5kPlus";"portal.icon.select"
"Outline60 Fps";"Outline60Fps";"portal.icon.select"
"Outline60 Fps Select";"Outline60FpsSelect";"portal.icon.select"
"Outline6 Ft Apart";"Outline6FtApart";"portal.icon.select"
"Outline6 K";"Outline6K";"portal.icon.select"
"Outline6 Mp";"Outline6Mp";"portal.icon.select"
"Outline6k Plus";"Outline6kPlus";"portal.icon.select"
"Outline7 K";"Outline7K";"portal.icon.select"
"Outline7 Mp";"Outline7Mp";"portal.icon.select"
"Outline7k Plus";"Outline7kPlus";"portal.icon.select"
"Outline8 K";"Outline8K";"portal.icon.select"
"Outline8 Mp";"Outline8Mp";"portal.icon.select"
"Outline8k Plus";"Outline8kPlus";"portal.icon.select"
"Outline9 K";"Outline9K";"portal.icon.select"
"Outline9 Mp";"Outline9Mp";"portal.icon.select"
"Outline9k Plus";"Outline9kPlus";"portal.icon.select"
"Outline Abc";"OutlineAbc";"portal.icon.select"
"Outline Ac Unit";"OutlineAcUnit";"portal.icon.select"
"Outline Access Alarm";"OutlineAccessAlarm";"portal.icon.select"
"Outline Access Alarms";"OutlineAccessAlarms";"portal.icon.select"
"Outline Access Time";"OutlineAccessTime";"portal.icon.select"
"Outline Access Time Filled";"OutlineAccessTimeFilled";"portal.icon.select"
"Outline Accessibility";"OutlineAccessibility";"portal.icon.select"
"Outline Accessibility New";"OutlineAccessibilityNew";"portal.icon.select"
"Outline Accessible";"OutlineAccessible";"portal.icon.select"
"Outline Accessible Forward";"OutlineAccessibleForward";"portal.icon.select"
"Outline Account Balance";"OutlineAccountBalance";"portal.icon.select"
"Outline Account Balance Wallet";"OutlineAccountBalanceWallet";"portal.icon.select"
"Outline Account Box";"OutlineAccountBox";"portal.icon.select"
"Outline Account Circle";"OutlineAccountCircle";"portal.icon.select"
"Outline Account Tree";"OutlineAccountTree";"portal.icon.select"
"Outline Ad Units";"OutlineAdUnits";"portal.icon.select"
"Outline Adb";"OutlineAdb";"portal.icon.select"
"Outline Add";"OutlineAdd";"portal.icon.select"
"Outline Add A Photo";"OutlineAddAPhoto";"portal.icon.select"
"Outline Add Alarm";"OutlineAddAlarm";"portal.icon.select"
"Outline Add Alert";"OutlineAddAlert";"portal.icon.select"
"Outline Add Box";"OutlineAddBox";"portal.icon.select"
"Outline Add Business";"OutlineAddBusiness";"portal.icon.select"
"Outline Add Card";"OutlineAddCard";"portal.icon.select"
"Outline Add Chart";"OutlineAddChart";"portal.icon.select"
"Outline Add Circle";"OutlineAddCircle";"portal.icon.select"
"Outline Add Circle Outline";"OutlineAddCircleOutline";"portal.icon.select"
"Outline Add Comment";"OutlineAddComment";"portal.icon.select"
"Outline Add Home";"OutlineAddHome";"portal.icon.select"
"Outline Add Home Work";"OutlineAddHomeWork";"portal.icon.select"
"Outline Add Ic Call";"OutlineAddIcCall";"portal.icon.select"
"Outline Add Link";"OutlineAddLink";"portal.icon.select"
"Outline Add Location";"OutlineAddLocation";"portal.icon.select"
"Outline Add Location Alt";"OutlineAddLocationAlt";"portal.icon.select"
"Outline Add Moderator";"OutlineAddModerator";"portal.icon.select"
"Outline Add Photo Alternate";"OutlineAddPhotoAlternate";"portal.icon.select"
"Outline Add Reaction";"OutlineAddReaction";"portal.icon.select"
"Outline Add Road";"OutlineAddRoad";"portal.icon.select"
"Outline Add Shopping Cart";"OutlineAddShoppingCart";"portal.icon.select"
"Outline Add Task";"OutlineAddTask";"portal.icon.select"
"Outline Add To Drive";"OutlineAddToDrive";"portal.icon.select"
"Outline Add To Home Screen";"OutlineAddToHomeScreen";"portal.icon.select"
"Outline Add To Photos";"OutlineAddToPhotos";"portal.icon.select"
"Outline Add To Queue";"OutlineAddToQueue";"portal.icon.select"
"Outline Addchart";"OutlineAddchart";"portal.icon.select"
"Outline Adf Scanner";"OutlineAdfScanner";"portal.icon.select"
"Outline Adjust";"OutlineAdjust";"portal.icon.select"
"Outline Admin Panel Settings";"OutlineAdminPanelSettings";"portal.icon.select"
"Outline Ads Click";"OutlineAdsClick";"portal.icon.select"
"Outline Agriculture";"OutlineAgriculture";"portal.icon.select"
"Outline Air";"OutlineAir";"portal.icon.select"
"Outline Airline Seat Flat";"OutlineAirlineSeatFlat";"portal.icon.select"
"Outline Airline Seat Flat Angled";"OutlineAirlineSeatFlatAngled";"portal.icon.select"
"Outline Airline Seat Individual Suite";"OutlineAirlineSeatIndividualSuite";"portal.icon.select"
"Outline Airline Seat Legroom Extra";"OutlineAirlineSeatLegroomExtra";"portal.icon.select"
"Outline Airline Seat Legroom Normal";"OutlineAirlineSeatLegroomNormal";"portal.icon.select"
"Outline Airline Seat Legroom Reduced";"OutlineAirlineSeatLegroomReduced";"portal.icon.select"
"Outline Airline Seat Recline Extra";"OutlineAirlineSeatReclineExtra";"portal.icon.select"
"Outline Airline Seat Recline Normal";"OutlineAirlineSeatReclineNormal";"portal.icon.select"
"Outline Airline Stops";"OutlineAirlineStops";"portal.icon.select"
"Outline Airlines";"OutlineAirlines";"portal.icon.select"
"Outline Airplane Ticket";"OutlineAirplaneTicket";"portal.icon.select"
"Outline Airplanemode Active";"OutlineAirplanemodeActive";"portal.icon.select"
"Outline Airplanemode Inactive";"OutlineAirplanemodeInactive";"portal.icon.select"
"Outline Airplay";"OutlineAirplay";"portal.icon.select"
"Outline Airport Shuttle";"OutlineAirportShuttle";"portal.icon.select"
"Outline Alarm";"OutlineAlarm";"portal.icon.select"
"Outline Alarm Add";"OutlineAlarmAdd";"portal.icon.select"
"Outline Alarm Off";"OutlineAlarmOff";"portal.icon.select"
"Outline Alarm On";"OutlineAlarmOn";"portal.icon.select"
"Outline Album";"OutlineAlbum";"portal.icon.select"
"Outline Align Horizontal Center";"OutlineAlignHorizontalCenter";"portal.icon.select"
"Outline Align Horizontal Left";"OutlineAlignHorizontalLeft";"portal.icon.select"
"Outline Align Horizontal Right";"OutlineAlignHorizontalRight";"portal.icon.select"
"Outline Align Vertical Bottom";"OutlineAlignVerticalBottom";"portal.icon.select"
"Outline Align Vertical Center";"OutlineAlignVerticalCenter";"portal.icon.select"
"Outline Align Vertical Top";"OutlineAlignVerticalTop";"portal.icon.select"
"Outline All Inbox";"OutlineAllInbox";"portal.icon.select"
"Outline All Inclusive";"OutlineAllInclusive";"portal.icon.select"
"Outline All Out";"OutlineAllOut";"portal.icon.select"
"Outline Alt Route";"OutlineAltRoute";"portal.icon.select"
"Outline Alternate Email";"OutlineAlternateEmail";"portal.icon.select"
"Outline Amp Stories";"OutlineAmpStories";"portal.icon.select"
"Outline Analytics";"OutlineAnalytics";"portal.icon.select"
"Outline Anchor";"OutlineAnchor";"portal.icon.select"
"Outline Android";"OutlineAndroid";"portal.icon.select"
"Outline Animation";"OutlineAnimation";"portal.icon.select"
"Outline Announcement";"OutlineAnnouncement";"portal.icon.select"
"Outline Aod";"OutlineAod";"portal.icon.select"
"Outline Apartment";"OutlineApartment";"portal.icon.select"
"Outline Api";"OutlineApi";"portal.icon.select"
"Outline App Blocking";"OutlineAppBlocking";"portal.icon.select"
"Outline App Registration";"OutlineAppRegistration";"portal.icon.select"
"Outline App Settings Alt";"OutlineAppSettingsAlt";"portal.icon.select"
"Outline App Shortcut";"OutlineAppShortcut";"portal.icon.select"
"Outline Approval";"OutlineApproval";"portal.icon.select"
"Outline Apps";"OutlineApps";"portal.icon.select"
"Outline Apps Outage";"OutlineAppsOutage";"portal.icon.select"
"Outline Architecture";"OutlineArchitecture";"portal.icon.select"
"Outline Archive";"OutlineArchive";"portal.icon.select"
"Outline Area Chart";"OutlineAreaChart";"portal.icon.select"
"Outline Arrow Back";"OutlineArrowBack";"portal.icon.select"
"Outline Arrow Back Ios";"OutlineArrowBackIos";"portal.icon.select"
"Outline Arrow Back Ios New";"OutlineArrowBackIosNew";"portal.icon.select"
"Outline Arrow Circle Down";"OutlineArrowCircleDown";"portal.icon.select"
"Outline Arrow Circle Left";"OutlineArrowCircleLeft";"portal.icon.select"
"Outline Arrow Circle Right";"OutlineArrowCircleRight";"portal.icon.select"
"Outline Arrow Circle Up";"OutlineArrowCircleUp";"portal.icon.select"
"Outline Arrow Downward";"OutlineArrowDownward";"portal.icon.select"
"Outline Arrow Drop Down";"OutlineArrowDropDown";"portal.icon.select"
"Outline Arrow Drop Down Circle";"OutlineArrowDropDownCircle";"portal.icon.select"
"Outline Arrow Drop Up";"OutlineArrowDropUp";"portal.icon.select"
"Outline Arrow Forward";"OutlineArrowForward";"portal.icon.select"
"Outline Arrow Forward Ios";"OutlineArrowForwardIos";"portal.icon.select"
"Outline Arrow Left";"OutlineArrowLeft";"portal.icon.select"
"Outline Arrow Outward";"OutlineArrowOutward";"portal.icon.select"
"Outline Arrow Right";"OutlineArrowRight";"portal.icon.select"
"Outline Arrow Right Alt";"OutlineArrowRightAlt";"portal.icon.select"
"Outline Arrow Upward";"OutlineArrowUpward";"portal.icon.select"
"Outline Art Track";"OutlineArtTrack";"portal.icon.select"
"Outline Article";"OutlineArticle";"portal.icon.select"
"Outline Aspect Ratio";"OutlineAspectRatio";"portal.icon.select"
"Outline Assessment";"OutlineAssessment";"portal.icon.select"
"Outline Assignment";"OutlineAssignment";"portal.icon.select"
"Outline Assignment Ind";"OutlineAssignmentInd";"portal.icon.select"
"Outline Assignment Late";"OutlineAssignmentLate";"portal.icon.select"
"Outline Assignment Return";"OutlineAssignmentReturn";"portal.icon.select"
"Outline Assignment Returned";"OutlineAssignmentReturned";"portal.icon.select"
"Outline Assignment Turned In";"OutlineAssignmentTurnedIn";"portal.icon.select"
"Outline Assist Walker";"OutlineAssistWalker";"portal.icon.select"
"Outline Assistant";"OutlineAssistant";"portal.icon.select"
"Outline Assistant Direction";"OutlineAssistantDirection";"portal.icon.select"
"Outline Assistant Photo";"OutlineAssistantPhoto";"portal.icon.select"
"Outline Assured Workload";"OutlineAssuredWorkload";"portal.icon.select"
"Outline Atm";"OutlineAtm";"portal.icon.select"
"Outline Attach Email";"OutlineAttachEmail";"portal.icon.select"
"Outline Attach File";"OutlineAttachFile";"portal.icon.select"
"Outline Attach Money";"OutlineAttachMoney";"portal.icon.select"
"Outline Attachment";"OutlineAttachment";"portal.icon.select"
"Outline Attractions";"OutlineAttractions";"portal.icon.select"
"Outline Attribution";"OutlineAttribution";"portal.icon.select"
"Outline Audio File";"OutlineAudioFile";"portal.icon.select"
"Outline Audiotrack";"OutlineAudiotrack";"portal.icon.select"
"Outline Auto Awesome";"OutlineAutoAwesome";"portal.icon.select"
"Outline Auto Awesome Mosaic";"OutlineAutoAwesomeMosaic";"portal.icon.select"
"Outline Auto Awesome Motion";"OutlineAutoAwesomeMotion";"portal.icon.select"
"Outline Auto Delete";"OutlineAutoDelete";"portal.icon.select"
"Outline Auto Fix High";"OutlineAutoFixHigh";"portal.icon.select"
"Outline Auto Fix Normal";"OutlineAutoFixNormal";"portal.icon.select"
"Outline Auto Fix Off";"OutlineAutoFixOff";"portal.icon.select"
"Outline Auto Graph";"OutlineAutoGraph";"portal.icon.select"
"Outline Auto Mode";"OutlineAutoMode";"portal.icon.select"
"Outline Auto Stories";"OutlineAutoStories";"portal.icon.select"
"Outline Autofps Select";"OutlineAutofpsSelect";"portal.icon.select"
"Outline Autorenew";"OutlineAutorenew";"portal.icon.select"
"Outline Av Timer";"OutlineAvTimer";"portal.icon.select"
"Outline Baby Changing Station";"OutlineBabyChangingStation";"portal.icon.select"
"Outline Back Hand";"OutlineBackHand";"portal.icon.select"
"Outline Backpack";"OutlineBackpack";"portal.icon.select"
